"Value Research Online"
"Date: 16-Jul-2015 15:10"
"Fund","Rating","Minimum Investment (Rs)","Exit Load (Period)","Expense Ratio","Portfolio Manager (Tenure)"
"Axis Equity Fund","* * * * ","5000","-","2.32"," Pankaj Murarka (2.1)"
"Axis Focused 25 Fund","Unrated","5000","-","3"," Sudhanshu Asthana (1.9)"
"Axis Long Term Equity Fund","* * * * * ","500","-","2.46"," Jinesh Gopani (4.3)"
"Axis Midcap Fund","* * * ","5000","-","2.58"," Pankaj Murarka (4.5), Sudhanshu Asthana (0.2)"
"Baroda Pioneer Banking and Financial Services Fund","* * ","5000","1 (365)","3.21"," Dipak Acharya (3.1)"
"Baroda Pioneer ELSS 96 Fund","* ","500","-","3.05"," Dipak Acharya (9.3)"
"Baroda Pioneer Growth Fund","* * ","5000","1 (365)","3.05"," Dipak Acharya (9.3)"
"Baroda Pioneer Infrastructure Fund","* * ","5000","1 (365)","3.1"," Dipak Acharya (5.2)"
"Baroda Pioneer PSU Equity Fund","Unrated","5000","1 (365)","2.97"," Dipak Acharya (4.8)"
"Birla Sun Life 5 Star Multi-Manager FoF Scheme","Unrated","5000","1 (365)","1.16"," Shravan Kumar Sreenivasula (0.6)"
"Birla Sun Life Advantage Fund","* * * * ","5000","-","2.77"," Satyabrata Mohanty (3.7)"
"Birla Sun Life Asset Allocation Fund - Aggressive Plan","* * * ","5000","-","0.02"," Satyabrata Mohanty (9.6), Vineet Maloo (2.8)"
"Birla Sun Life Banking & Financial Services Fund - Regular Plan","Unrated","5000","-","2.87"," Satyabrata Mohanty (1.6)"
"Birla Sun Life Buy India Fund","Unrated","5000","1 (365)","2.94"," Ajay Garg (7.8)"
"Birla Sun Life Commodity Equities Fund - Global Agri Plan","Unrated","5000","-","1.77"," Vineet Maloo (6.8)"
"Birla Sun Life Dividend Yield Plus Fund","* * ","5000","-","2.43"," Naysar Shah (1.5), Vineet Maloo (1.5)"
"Birla Sun Life Equity Fund","* * * ","5000","-","2.34"," Anil Shah (2.8)"
"Birla Sun Life Frontline Equity Fund","* * * * ","5000","1 (365)","2.21"," Mahesh Patil (9.7)"
"Birla Sun Life Global Commodities Fund","Unrated","5000","1 (365)","0.95"," Shravan Kumar Sreenivasula (0.6)"
"Birla Sun Life Global Real Estate Fund - Retail Plan","Unrated","5000","1 (365)","1.84"," Shravan Kumar Sreenivasula (0.6)"
"Birla Sun Life Index Fund","* * ","5000","-","0.69"," Ajay Garg (8.8)"
"Birla Sun Life India GenNext Fund","Unrated","5000","1 (365)","2.78"," Anil Shah (1.8)"
"Birla Sun Life India Opportunities Fund","Unrated","5000","1 (365)","2.89"," Naysar Shah (2.8)"
"Birla Sun Life India Reforms Fund","* ","5000","-","2.84"," Naysar Shah (4.5)"
"Birla Sun Life Infrastructure Fund","* * * * ","5000","1 (365)","2.51"," Mahesh Patil (9.5), Naysar Shah (3.6)"
"Birla Sun Life International Equity Fund - Plan A","Unrated","5000","1 (365)","2.89"," Vineet Maloo (7.8)"
"Birla Sun Life International Equity Fund - Plan B","* * ","5000","1 (365)","2.87"," Vineet Maloo (7.8)"
"Birla Sun Life Latin America Equity Fund","Unrated","5000","1 (365)","1.87"," Shravan Kumar Sreenivasula (0.6)"
"Birla Sun Life Long Term Advantage Fund","* * * * ","5000","-","2.79"," Mahesh Patil (2.8)"
"Birla Sun Life Manufacturing Equity Fund - Regular Plan","Unrated","5000","-","2.71"," Anil Shah (0.5)"
"Birla Sun Life Mid Cap Fund","* * ","5000","-","2.36"," Jayesh Gandhi (0.5)"
"Birla Sun Life MNC Fund","Unrated","5000","1 (365)","2.65"," Ajay Garg (6.1)"
"Birla Sun Life New Millennium Fund","Unrated","5000","1 (365)","2.91"," Kunal Sangoi (1.5)"
"Birla Sun Life Nifty ETF Fund","Unrated","5000","-","0.55"," Satyabrata Mohanty (4.0)"
"Birla Sun Life Pure Value Fund","* * * ","5000","-","2.78"," Mahesh Patil (1.5), Milind Bafna (1.5)"
"Birla Sun Life Small & Midcap Fund","* * ","5000","1 (365)","2.84"," Jayesh Gandhi (0.6)"
"Birla Sun Life Special Situations Fund","* * * ","5000","1 (365)","2.84"," Anil Shah (2.5)"
"Birla Sun Life Tax Plan","* * * * ","500","-","3.06"," Ajay Garg (3.7)"
"Birla Sun Life Tax Relief 96","* * * ","500","-","2.36"," Ajay Garg (8.8)"
"Birla Sun Life Tax Savings Fund","* * * ","500","-","2.93"," Ajay Garg (0.8)"
"Birla Sun Life Top 100 Fund","* * * * ","5000","-","2.47"," Mahesh Patil (5.0)"
"BNP Paribas Dividend Yield Fund","* * * * ","5000","1 (365)","2.82"," Shreyash Devalker (3.8)"
"BNP Paribas Equity Fund","* * * * * ","5000","1 (365)","2.62"," Shreyash Devalker (3.8)"
"BNP Paribas Long Term Equity Fund","* * * * * ","500","-","2.89"," Shreyash Devalker (3.8)"
"BNP Paribas Midcap Fund","* * * * * ","5000","1 (365)","2.83"," Shreyash Devalker (3.8)"
