"Value Research Online"
"Date: 15-Jul-2015 13:36"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"Axis Equity Fund","* * * * ","6.17","55/147","-2.73","44/145","19.4","50/143","23.36","4/75","12.4","11/64","-","-"
"Axis Focused 25 Fund","Unrated","6.44","80/135","0.33","9/135","28.68","36/125","22.28","38/66","-","-","-","-"
"Axis Long Term Equity Fund","* * * * * ","6.67","50/75","-3.72","60/75","36.64","11/73","34.16","1/37","21.87","1/36","-","-"
"Axis Midcap Fund","* * * ","9.28","28/114","1.75","8/114","36.12","69/112","35.72","12/52","-","-","-","-"
"Baroda Pioneer Banking and Financial Services Fund","* * ","6.65","26/29","-0.97","23/29","26.16","17/23","17.63","10/13","-","-","-","-"
"Baroda Pioneer ELSS 96 Fund","* ","5.65","68/75","-4.5","71/75","21.84","56/73","22.06","28/37","10.43","32/36","11.82","17/19"
"Baroda Pioneer Growth Fund","* * ","6.17","54/147","-2.83","50/145","22.99","34/143","20.75","17/75","9.25","48/64","15.41","15/34"
"Baroda Pioneer Infrastructure Fund","* * ","6.38","38/43","-4.76","37/43","13.3","36/43","17.08","15/22","3.52","16/20","-","-"
"Baroda Pioneer PSU Equity Fund","Unrated","4.13","-","-1.15","-","0.7","-","5.72","-","-","-","-","-"
"Birla Sun Life 5 Star Multi-Manager FoF Scheme","Unrated","6.63","67/135","-1.29","38/135","26.29","56/125","23.06","36/66","13.28","29/61","-","-"
"Birla Sun Life Advantage Fund","* * * * ","8.52","13/61","-0.05","11/61","35.26","8/56","29.75","3/28","13.77","8/26","15.6","11/15"
"Birla Sun Life Asset Allocation Fund - Aggressive Plan","* * * ","5.52","54/61","-0.94","26/61","24.66","36/56","18.24","26/28","9.85","23/26","15.19","12/15"
"Birla Sun Life Banking & Financial Services Fund - Regular Plan","Unrated","9.97","4/29","0.52","16/29","33.79","3/23","-","-","-","-","-","-"
"Birla Sun Life Buy India Fund","Unrated","7.68","-","-3.75","-","47.41","-","33.69","-","18.08","-","18.53","-"
"Birla Sun Life Commodity Equities Fund - Global Agri Plan","Unrated","-2.47","-","4.13","-","7.61","-","10.1","-","9.89","-","-","-"
"Birla Sun Life Dividend Yield Plus Fund","* * ","5.27","57/61","-2.21","47/61","19.67","48/56","18.71","25/28","11.47","18/26","16.43","8/15"
"Birla Sun Life Equity Fund","* * * ","7.19","45/135","-2.17","79/135","21.79","97/125","27.83","1/66","13.16","30/61","17.7","13/27"
"Birla Sun Life Frontline Equity Fund","* * * * ","6.36","85/135","-1.95","66/135","23.84","85/125","25.71","17/66","14.62","11/61","20.19","2/27"
"Birla Sun Life Global Commodities Fund","Unrated","-8.14","-","-3.22","-","-22.63","-","-2.05","-","0.36","-","-","-"
"Birla Sun Life Global Real Estate Fund - Retail Plan","Unrated","-1.29","-","-3.71","-","3.05","-","-","-","-","-","-","-"
"Birla Sun Life Index Fund","* * ","5.81","111/147","-4.28","128/145","13.82","106/143","17.26","59/75","9.05","55/64","13.83","22/34"
"Birla Sun Life India GenNext Fund","Unrated","7.3","-","0.63","-","39.35","-","29.28","-","19.53","-","-","-"
"Birla Sun Life India Opportunities Fund","Unrated","4.04","-","-3.58","-","25.29","-","31.06","-","15.26","-","13.62","-"
"Birla Sun Life India Reforms Fund","* ","6.48","51/61","-1.45","36/61","19.97","47/56","17.46","27/28","6.51","26/26","-","-"
"Birla Sun Life Infrastructure Fund","* * * * ","7.31","26/43","-2.22","26/43","22.35","23/43","23.97","4/22","8.95","5/20","-","-"
"Birla Sun Life International Equity Fund - Plan A","Unrated","-2.34","-","-0.28","-","8.74","-","16.16","-","15.38","-","-","-"
"Birla Sun Life International Equity Fund - Plan B","* * ","4.46","124/135","-1.29","39/135","16.49","107/125","16.83","61/66","9.84","49/61","-","-"
"Birla Sun Life Latin America Equity Fund","Unrated","-2.36","-","-2.69","-","-20.17","-","-4.83","-","-3.5","-","-","-"
"Birla Sun Life Long Term Advantage Fund","* * * * ","7.81","23/135","-1.67","57/135","26.91","48/125","26.7","10/66","14.27","18/61","-","-"
"Birla Sun Life Manufacturing Equity Fund - Regular Plan","Unrated","7.76","25/135","-2.28","87/135","-","-","-","-","-","-","-","-"
"Birla Sun Life Mid Cap Fund","* * ","9.14","40/114","0.18","23/114","39.53","47/112","30.08","34/52","15.09","34/48","19.78","5/20"
"Birla Sun Life MNC Fund","Unrated","7.3","-","-3.61","-","59.3","-","37.4","-","24.42","-","22.56","-"
"Birla Sun Life New Millennium Fund","Unrated","1.62","4/10","-8.12","8/10","17.27","6/10","24.97","3/5","11.28","4/5","12.38","5/5"
"Birla Sun Life Nifty ETF Fund","Unrated","5.93","102/147","-3.63","91/145","14.8","79/143","18.32","42/75","-","-","-","-"
"Birla Sun Life Pure Value Fund","* * * ","12.79","2/114","0.3","22/114","24.67","103/112","34.68","16/52","18.12","21/48","-","-"
"Birla Sun Life Small & Midcap Fund","* * ","10.29","23/114","-0.19","30/114","33.91","76/112","29.4","35/52","14.67","37/48","-","-"
"Birla Sun Life Special Situations Fund","* * * ","7.82","21/135","-3.81","115/135","26.67","49/125","26.75","9/66","12.12","40/61","-","-"
"Birla Sun Life Tax Plan","* * * * ","6.65","51/75","-4.4","69/75","35.41","16/73","28.58","5/37","16","7/36","15.99","9/19"
"Birla Sun Life Tax Relief 96","* * * ","6.75","46/75","-4.28","66/75","36.96","9/73","29.57","3/37","13.53","15/36","17.12","6/19"
"Birla Sun Life Tax Savings Fund","* * * ","6.82","41/75","-4.27","65/75","32.04","25/73","22.86","23/37","12.03","23/36","12.85","14/19"
"Birla Sun Life Top 100 Fund","* * * * ","7.23","43/135","-1.57","52/135","22.93","92/125","25.51","19/66","15.48","7/61","-","-"
"BNP Paribas Dividend Yield Fund","* * * * ","7.28","34/61","-0.45","15/61","32.34","10/56","26.72","5/28","15.86","3/26","-","-"
"BNP Paribas Equity Fund","* * * * * ","7.3","37/135","-2.45","91/135","30.11","30/125","26.44","12/66","16.77","3/61","17.31","15/27"
"BNP Paribas Long Term Equity Fund","* * * * * ","8.12","11/75","-1.29","25/75","35.06","17/73","28.43","6/37","17.54","3/36","-","-"
"BNP Paribas Midcap Fund","* * * * * ","11.03","9/114","2.1","6/114","42.39","34/112","35.7","13/52","21.94","5/48","-","-"
"BOI AXA Equity Fund - Regular Plan","* * * ","5.88","106/147","-5.71","141/145","17.88","58/143","19.27","29/75","9.71","40/64","-","-"
"BOI AXA Focused Infrastructure Fund","* * ","7.73","22/43","-1.48","18/43","19.29","31/43","17.22","14/22","3.72","15/20","-","-"
"BOI AXA Tax Advantage Fund - Regular Plan","* * * ","7.14","36/75","-2.67","44/75","26.73","45/73","23.33","20/37","11.51","27/36","-","-"
"Canara Robeco Emerging Equities Fund - Regular Plan","* * * * * ","9.69","25/114","-0.28","32/114","45.79","19/112","37.48","9/52","22.57","3/48","19.51","7/20"
"Canara Robeco Equity Diversified Fund - Regular Plan","* * * ","8.49","6/135","-3.42","108/135","22.2","95/125","20.4","50/66","12.89","31/61","17.84","12/27"
"Canara Robeco Equity Tax Saver Fund - Regular Plan","* * * ","7.3","31/75","-3.72","59/75","24.4","50/73","21.71","30/37","13.37","16/36","20.52","1/19"
"Canara Robeco F.O.R.C.E Fund - Regular Plan","Unrated","7.94","-","0.87","-","37.55","-","25.23","-","15.77","-","-","-"
"Canara Robeco Infrastructure Fund - Regular Plan","* * * * ","7.66","24/43","-2.39","29/43","29.32","6/43","22.21","6/22","11.43","2/20","-","-"
"Canara Robeco Large Cap+ Fund - Regular Plan","* * * ","7.48","16/147","-2.87","54/145","20.62","44/143","18.94","33/75","-","-","-","-"
"DSP BlackRock Equity Fund","* * * ","8.24","25/61","-4.42","60/61","24.03","40/56","21.86","18/28","12.04","16/26","19.85","1/15"
"DSP BlackRock Focus 25 Fund","* * * ","6.41","83/135","-0.48","15/135","33.99","14/125","25.22","22/66","11.52","42/61","-","-"
"DSP BlackRock Global Allocation Fund - Regular Plan","Unrated","-1.64","-","0.5","-","-","-","-","-","-","-","-","-"
"DSP BlackRock Micro Cap Fund - Regular Plan","* * * * ","10.84","16/114","-1.77","66/114","55.49","4/112","39.21","4/52","20.68","12/48","-","-"
"DSP BlackRock Natural Resources and New Energy Fund - Regular Plan","Unrated","6.38","-","0.32","-","14.27","-","14.19","-","6.53","-","-","-"
"DSP BlackRock Opportunities Fund","* * * ","7.14","47/135","-1.57","53/135","28.07","40/125","25.74","16/66","12.61","38/61","18.08","9/27"
"DSP BlackRock Small and Mid Cap Fund - Regular Plan","* * ","11.25","6/114","-0.73","38/114","38.05","56/112","30.73","31/52","16.83","29/48","-","-"
"DSP BlackRock T.I.G.E.R. Fund - Regular Plan","* * * * ","9.68","6/43","-1.47","17/43","26.25","15/43","21.96","7/22","8.61","6/20","16.77","1/3"
"DSP BlackRock Tax Saver Fund","* * * * ","7.21","35/75","-1.22","22/75","27.09","42/73","27.04","10/37","14.2","11/36","-","-"
"DSP BlackRock Technology.com Fund - Regular Plan","Unrated","1.82","2/10","-7.04","4/10","14.43","10/10","24.28","4/5","8.8","5/5","15.96","2/5"
"DSP BlackRock Top 100 Equity Fund - Regular Plan","* * * ","7.35","21/147","-3.11","68/145","17.61","60/143","18.42","39/75","11.24","20/64","18.79","2/34"
"DSP BlackRock US Flexible Equity Fund","Unrated","-1.32","-","1.03","-","10.9","-","-","-","-","-","-","-"
"DSP BlackRock World Agriculture Fund","Unrated","-2.76","-","2.8","-","2.68","-","9.38","-","-","-","-","-"
"DSP BlackRock World Energy Fund - Regular Plan","Unrated","-6.02","-","-6.25","-","-17.4","-","4.48","-","6.54","-","-","-"
"DSP BlackRock World Gold Fund - Regular Plan","Unrated","-9.02","-","-7.39","-","-27.43","-","-17.98","-","-10.55","-","-","-"
"DSP BlackRock World Mining Fund - Regular Plan","Unrated","-9.83","-","-5.35","-","-33.89","-","-13.28","-","-7.43","-","-","-"
"DWS Alpha Equity Fund","* * * * ","6.53","35/147","-2.48","35/145","25.13","22/143","22.61","7/75","10.94","25/64","16.92","8/34"
"DWS Global Agribusiness Offshore Fund","Unrated","-1.99","-","0.37","-","-1.16","-","7.35","-","10.63","-","-","-"
"DWS Investment Opportunity Fund","* * ","6.55","72/135","-2.46","92/135","24.64","75/125","21.3","45/66","9.08","54/61","16.44","21/27"
"DWS Tax Saving Fund","* * ","6.76","45/75","-2.73","45/75","25.44","48/73","23.17","21/37","10.11","33/36","-","-"
"DWS Top Euroland Offshore Fund","Unrated","0.55","-","2.47","-","2.55","-","12.76","-","10.87","-","-","-"
"Edelweiss Diversified Growth Equity Top 100 Fund","* * * * ","5.83","106/135","-2.29","88/135","26.6","51/125","23.75","31/66","14.36","17/61","-","-"
"Edelweiss ELSS Fund","* * * * ","7.57","17/75","-1.17","20/75","32","26/73","25.99","12/37","14.62","10/36","-","-"
"Edelweiss Exchange Traded Scheme-Nifty (Nifty EES)","Unrated","6.15","58/147","-","-","-","-","-","-","-","-","-","-"
"Edelweiss Select Midcap Fund","* * * ","8.61","52/114","-0.14","29/114","36.54","65/112","30.39","32/52","-","-","-","-"
"Edelweiss Value Opportunities Fund","Unrated","8.03","12/135","-1.34","40/135","23.57","88/125","17.13","58/66","10.28","45/61","-","-"
"Escorts Growth Fund","* ","6.66","86/114","-2.13","80/114","27.56","97/112","24.99","44/52","10.34","46/48","14.33","18/20"
"Escorts High Yield Equity Fund","Unrated","7.04","82/114","-1.77","68/114","45.24","23/112","25.43","42/52","13.72","40/48","-","-"
"Escorts Infrastructure Fund","Unrated","8.31","17/43","-4.37","35/43","7.83","42/43","10.12","22/22","-4.3","20/20","-","-"
"Escorts Leading Sectors Fund","Unrated","6.14","96/114","-2.07","78/114","43.51","31/112","30.91","30/52","14.9","36/48","-","-"
"Escorts Power & Energy Fund","Unrated","9.91","-","2.79","-","18.82","-","16.98","-","0.56","-","-","-"
"Escorts Tax Plan","Unrated","2.38","75/75","-3.15","49/75","33.01","21/73","16.31","37/37","3.47","36/36","9.14","19/19"
"Franklin Asian Equity Fund","Unrated","-3.55","-","-6.63","-","4.53","-","11.68","-","9.7","-","-","-"
"Franklin Build India Fund","* * * * * ","5.91","41/43","-2.33","28/43","48.28","2/43","37.54","1/22","19.6","1/20","-","-"
"Franklin India Bluechip Fund","* * * * ","5.28","124/147","-1.7","21/145","24.75","25/143","19.91","25/75","12.56","9/64","18.11","4/34"
"Franklin India Feeder - Franklin European Growth Fund","Unrated","-2.38","-","3.61","-","-7.07","-","-","-","-","-","-","-"
"Franklin India Feeder Franklin US Opportunities Fund","Unrated","0.89","-","2.89","-","19.7","-","24.87","-","-","-","-","-"
"Franklin India Flexi Cap Fund","* * * * * ","4.84","117/135","-2.02","68/135","32.63","19/125","27.59","3/66","15.51","6/61","19.2","5/27"
"Franklin India High Growth Companies Fund","* * * * * ","4.71","59/61","-3.13","56/61","42.92","2/56","35.34","1/28","19.1","1/26","-","-"
"Franklin India Index Fund - NSE Nifty Plan","* * ","6","92/147","-3.79","102/145","13.81","108/143","17.46","55/75","9.51","45/64","14.48","19/34"
"Franklin India Life Stage Fund of Funds 20s","* * * ","4.77","119/135","-0.8","20/135","23.69","86/125","19.67","54/66","12.74","35/61","16.06","24/27"
