"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"Axis Equity Fund","* * * * ","1.03","46/148","5.1","31/145","15.24","47/143","24","3/75","12.38","7/64","-","-"
"Axis Focused 25 Fund","Unrated","0.33","103/135","8.68","6/135","22.22","44/125","22.6","41/66","-","-","-","-"
"Axis Long Term Equity Fund","* * * * * ","0.32","58/75","4.81","58/75","29.06","15/73","35.07","1/37","21.64","1/36","-","-"
"Axis Midcap Fund","* * * ","4.55","26/114","11.72","12/114","34.74","53/112","37.59","10/52","-","-","-","-"
"Baroda Pioneer Banking and Financial Services Fund","* * ","-1.43","27/29","2.59","22/29","16.95","17/23","17.55","10/13","-","-","-","-"
"Baroda Pioneer ELSS 96 Fund","* ","1.09","49/75","3.83","65/75","18.34","52/73","23.2","26/37","10.21","31/36","11.56","17/19"
"Baroda Pioneer Growth Fund","* * ","0.7","57/148","4.92","36/145","19.12","23/143","22.03","12/75","8.96","47/64","15.1","12/35"
"Baroda Pioneer Infrastructure Fund","* * ","1.7","26/43","3.81","33/43","10.21","36/43","18.55","13/22","3.51","15/20","-","-"
"Baroda Pioneer PSU Equity Fund","Unrated","-0.48","-","2.7","-","-3.79","-","6.85","-","-","-","-","-"
"Birla Sun Life 5 Star Multi-Manager FoF Scheme","Unrated","1.42","52/135","5.73","58/135","21.14","51/125","24.41","31/66","12.98","29/61","-","-"
"Birla Sun Life Advantage Fund","* * * * ","0.4","58/61","8.7","11/61","28.68","8/56","30.42","3/28","13.28","8/26","15.13","10/15"
"Birla Sun Life Asset Allocation Fund - Aggressive Plan","* * * ","1.12","46/61","4.97","46/61","20.65","33/56","18.89","27/28","9.71","22/26","14.88","12/15"
"Birla Sun Life Banking & Financial Services Fund - Regular Plan","Unrated","2.13","2/29","7.29","4/29","29.16","2/23","-","-","-","-","-","-"
"Birla Sun Life Buy India Fund","Unrated","2.71","-","5.71","-","39.56","-","34.28","-","17.96","-","17.94","-"
"Birla Sun Life Commodity Equities Fund - Global Agri Plan","Unrated","-2.46","-","1.99","-","6.28","-","8.8","-","8.78","-","-","-"
"Birla Sun Life Dividend Yield Plus Fund","* * ","1.29","40/61","4.94","48/61","15.47","46/56","20.16","25/28","11.4","18/26","15.91","8/15"
"Birla Sun Life Equity Fund","* * * ","2.91","4/135","5.85","52/135","18.07","89/125","28.94","1/66","13.06","28/61","17.13","13/28"
"Birla Sun Life Frontline Equity Fund","* * * * ","0.67","88/135","4.59","87/135","18.17","85/125","26.08","20/66","14.17","14/61","19.52","2/28"
"Birla Sun Life Global Commodities Fund","Unrated","-9.46","-","-12.96","-","-27.57","-","-4.1","-","-1.18","-","-","-"
"Birla Sun Life Global Real Estate Fund - Retail Plan","Unrated","1.43","-","-5.07","-","3.27","-","-","-","-","-","-","-"
"Birla Sun Life Index Fund","* * ","-0.12","108/148","1.96","127/145","7.78","110/143","17.84","59/75","8.66","55/64","13.18","23/35"
"Birla Sun Life India GenNext Fund","Unrated","1.55","-","8.05","-","33.89","-","29.3","-","18.85","-","-","-"
"Birla Sun Life India Opportunities Fund","Unrated","3.14","-","7.93","-","24.01","-","33","-","15.63","-","13.72","-"
"Birla Sun Life India Reforms Fund","* ","0.78","50/61","2.76","56/61","13.49","48/56","18.93","26/28","6.34","26/26","-","-"
"Birla Sun Life Infrastructure Fund","* * * * ","0.72","35/43","4.2","30/43","16.57","22/43","25.18","4/22","8.53","5/20","-","-"
"Birla Sun Life International Equity Fund - Plan A","Unrated","-2.11","-","-3.19","-","7.27","-","15.17","-","14.77","-","-","-"
"Birla Sun Life International Equity Fund - Plan B","* * ","0.33","104/135","2.64","120/135","12.56","102/125","17.53","60/66","9.49","49/61","-","-"
"Birla Sun Life Latin America Equity Fund","Unrated","-9.43","-","-15.32","-","-27.43","-","-8.57","-","-5.47","-","-","-"
"Birla Sun Life Long Term Advantage Fund","* * * * ","2.88","5/135","7.06","25/135","22.09","46/125","27.77","7/66","13.92","16/61","-","-"
"Birla Sun Life Manufacturing Equity Fund - Regular Plan","Unrated","2.71","10/135","5.68","59/135","-","-","-","-","-","-","-","-"
"Birla Sun Life Mid Cap Fund","* * ","3.54","42/114","9.61","31/114","36.38","39/112","30.86","35/52","14.85","35/48","19.48","5/20"
"Birla Sun Life MNC Fund","Unrated","2.58","-","6.77","-","55.72","-","38.27","-","24.77","-","22.3","-"
"Birla Sun Life New Millennium Fund","Unrated","2.83","4/10","5.88","6/10","14.7","6/10","27.49","3/5","11.8","4/5","12.26","5/5"
"Birla Sun Life Nifty ETF Fund","Unrated","0.05","73/148","2.6","75/145","8.83","85/143","18.92","39/75","-","-","-","-"
"Birla Sun Life Pure Value Fund","* * * ","6.13","8/114","8.73","44/114","20.88","101/112","36.15","17/52","17.96","21/48","-","-"
"Birla Sun Life Small & Midcap Fund","* * ","4.03","33/114","7.79","60/114","30.04","76/112","30.6","36/52","14.41","38/48","-","-"
"Birla Sun Life Special Situations Fund","* * * ","2.18","23/135","5.28","65/135","22.43","42/125","27.68","8/66","11.61","41/61","-","-"
"Birla Sun Life Tax Plan","* * * * ","1.94","27/75","4.98","56/75","29.35","13/73","29.62","5/37","15.84","7/36","15.77","9/19"
