"Value Research Online"
"Date: 16-Jul-2015 16:23"
"Fund","Rating","Category","Launch","Expense Ratio (%)","1-Year Return (%)","1-Year Rank","Net Assets (Cr)"
"Axis Equity Fund","* * * * ","EQ-LC     ","Jan 05, 2010","2.32","18.16","51/143","1832.22"
"Axis Focused 25 Fund","Unrated","EQ-LC&MC  ","Jun 29, 2012","3","28.22","32/125","296.37"
"Axis Long Term Equity Fund","* * * * * ","EQ-TP     ","Dec 29, 2009","2.46","35.41","10/73","5436.58"
"Axis Midcap Fund","* * * ","EQ-M&SC   ","Feb 18, 2011","2.58","34.27","67/112","1186.98"
"Baroda Pioneer Banking and Financial Services Fund","* * ","EQ-BANK   ","Jun 22, 2012","3.21","23.27","17/23","52.4"
"Baroda Pioneer ELSS 96 Fund","* ","EQ-TP     ","Mar 31, 1996","3.05","20.89","56/73","41.79"
"Baroda Pioneer Growth Fund","* * ","EQ-LC     ","Sep 12, 2003","3.05","21.9","36/143","222.15"
"Baroda Pioneer Infrastructure Fund","* * ","EQ-INFRA  ","Jun 22, 2010","3.1","11.91","36/43","21.31"
"Baroda Pioneer PSU Equity Fund","Unrated","EQ-OTH    ","Oct 04, 2010","2.97","-1.72","-","39.04"
"Birla Sun Life 5 Star Multi-Manager FoF Scheme","Unrated","EQ-LC&MC  ","Jan 16, 2007","1.16","25.02","57/125","1.1"
"Birla Sun Life Advantage Fund","* * * * ","EQ-MLC    ","Feb 24, 1995","2.77","32.15","9/56","465.62"
"Birla Sun Life Asset Allocation Fund - Aggressive Plan","* * * ","EQ-MLC    ","Feb 24, 2004","0.02","23.03","34/56","10.75"
"Birla Sun Life Banking & Financial Services Fund - Regular Plan","Unrated","EQ-BANK   ","Dec 09, 2013","2.87","30.52","4/23","535.67"
"Birla Sun Life Buy India Fund","Unrated","EQ-OTH    ","Jan 15, 2000","2.94","45.75","-","59.1"
"Birla Sun Life Commodity Equities Fund - Global Agri Plan","Unrated","EQ-INTL   ","Nov 07, 2008","1.77","7.57","-","11.2"
"Birla Sun Life Dividend Yield Plus Fund","* * ","EQ-MLC    ","Feb 26, 2003","2.43","18.49","47/56","1182.72"
"Birla Sun Life Equity Fund","* * * ","EQ-LC&MC  ","Aug 27, 1998","2.34","20.81","96/125","2148.44"
"Birla Sun Life Frontline Equity Fund","* * * * ","EQ-LC&MC  ","Aug 30, 2002","2.21","23.02","82/125","9363.91"
"Birla Sun Life Global Commodities Fund","Unrated","EQ-INTL   ","Sep 17, 2008","0.95","-22.79","-","2.28"
"Birla Sun Life Global Real Estate Fund - Retail Plan","Unrated","EQ-INTL   ","Dec 31, 2007","1.84","2.98","-","22.78"
"Birla Sun Life Index Fund","* * ","EQ-LC     ","Sep 18, 2002","0.69","13.75","104/143","352.03"
"Birla Sun Life India GenNext Fund","Unrated","EQ-OTH    ","Aug 05, 2005","2.78","38.21","-","292.97"
"Birla Sun Life India Opportunities Fund","Unrated","EQ-OTH    ","Aug 25, 2003","2.89","25.46","-","92.81"
"Birla Sun Life India Reforms Fund","* ","EQ-MLC    ","Jun 25, 2010","2.84","17.77","48/56","259.1"
"Birla Sun Life Infrastructure Fund","* * * * ","EQ-INFRA  ","Mar 17, 2006","2.51","20.52","22/43","817.42"
"Birla Sun Life International Equity Fund - Plan A","Unrated","EQ-INTL   ","Oct 31, 2007","2.89","8.63","-","65.12"
"Birla Sun Life International Equity Fund - Plan B","* * ","EQ-LC&MC  ","Oct 31, 2007","2.87","15.56","106/125","110.77"
"Birla Sun Life Latin America Equity Fund","Unrated","EQ-INTL   ","Aug 07, 2008","1.87","-19.74","-","3.51"
